-6855.5336066930203742	-9519.7402705555778084	1715.1826535171826436
-6854.4081529106788366	-9519.7402705555778084	1712.4655677320299674
-6856.6590604753619118	-9519.7402705555778084	1712.4655677320299674
-6855.5336066930203742	-9518.1487810218859522	1713.5910215143712776
-6855.5336066930203742	-9521.3317600892696646	1713.5910215143712776
-6856.8484629289869190	-9520.5186932099441037	1714.0365590349942977
-6856.8084234634852692	-9520.1620530153813888	1712.7366720105089826
-6856.4977738110092105	-9520.6402682599800755	1714.4816973107188005
-6854.7273409849185555	-9518.8411252041914850	1712.5543168079166207
-6856.1307335501132911	-9519.4164601032061910	1712.1517095322240039
